name,slug,score,style,domain_status,domains
Airbrand,airbrand,120,prefix_keyword,not_checked,airbrand.com:not_checked;airbrand.app:not_checked;airbrand.co:not_checked;airbrand.io:not_checked
Airclubs,airclubs,120,prefix_keyword,not_checked,airclubs.com:not_checked;airclubs.app:not_checked;airclubs.co:not_checked;airclubs.io:not_checked
Aircourt,aircourt,120,prefix_keyword,not_checked,aircourt.com:not_checked;aircourt.app:not_checked;aircourt.co:not_checked;aircourt.io:not_checked
Airmatch,airmatch,120,prefix_keyword,not_checked,airmatch.com:not_checked;airmatch.app:not_checked;airmatch.co:not_checked;airmatch.io:not_checked
Airrally,airrally,120,prefix_keyword,not_checked,airrally.com:not_checked;airrally.app:not_checked;airrally.co:not_checked;airrally.io:not_checked
Airready,airready,120,prefix_keyword,not_checked,airready.com:not_checked;airready.app:not_checked;airready.co:not_checked;airready.io:not_checked
Airrecap,airrecap,120,prefix_keyword,not_checked,airrecap.com:not_checked;airrecap.app:not_checked;airrecap.co:not_checked;airrecap.io:not_checked
Airscore,airscore,120,prefix_keyword,not_checked,airscore.com:not_checked;airscore.app:not_checked;airscore.co:not_checked;airscore.io:not_checked
Airserve,airserve,120,prefix_keyword,not_checked,airserve.com:not_checked;airserve.app:not_checked;airserve.co:not_checked;airserve.io:not_checked
Airshare,airshare,120,prefix_keyword,not_checked,airshare.com:not_checked;airshare.app:not_checked;airshare.co:not_checked;airshare.io:not_checked
Altobeta,altobeta,120,prefix_keyword,not_checked,altobeta.com:not_checked;altobeta.app:not_checked;altobeta.co:not_checked;altobeta.io:not_checked
Altoclub,altoclub,120,prefix_keyword,not_checked,altoclub.com:not_checked;altoclub.app:not_checked;altoclub.co:not_checked;altoclub.io:not_checked
Altocrew,altocrew,120,prefix_keyword,not_checked,altocrew.com:not_checked;altocrew.app:not_checked;altocrew.co:not_checked;altocrew.io:not_checked
Altodink,altodink,120,prefix_keyword,not_checked,altodink.com:not_checked;altodink.app:not_checked;altodink.co:not_checked;altodink.io:not_checked
Altofair,altofair,120,prefix_keyword,not_checked,altofair.com:not_checked;altofair.app:not_checked;altofair.co:not_checked;altofair.io:not_checked
Altogame,altogame,120,prefix_keyword,not_checked,altogame.com:not_checked;altogame.app:not_checked;altogame.co:not_checked;altogame.io:not_checked
Altolive,altolive,120,prefix_keyword,not_checked,altolive.com:not_checked;altolive.app:not_checked;altolive.co:not_checked;altolive.io:not_checked
Altoruns,altoruns,120,prefix_keyword,not_checked,altoruns.com:not_checked;altoruns.app:not_checked;altoruns.co:not_checked;altoruns.io:not_checked
Arcbrand,arcbrand,120,prefix_keyword,not_checked,arcbrand.com:not_checked;arcbrand.app:not_checked;arcbrand.co:not_checked;arcbrand.io:not_checked
Arcclubs,arcclubs,120,prefix_keyword,not_checked,arcclubs.com:not_checked;arcclubs.app:not_checked;arcclubs.co:not_checked;arcclubs.io:not_checked
